# results of script local_minima
size_of_hidden_layer,training_error,test_error,number_of_epochs,training_time
20,0.05080002546310425,0.18364614248275757,85,54.16641163825989
30,0.016200006008148193,0.16493844985961914,84,53.362510681152344
40,0.014599978923797607,0.16152310371398926,80,51.96966600418091
5,0.0820000171661377,0.19401538372039795,69,41.941428422927856
10,0.047599971294403076,0.18038463592529297,81,49.591614723205566
20,0.03519999980926514,0.16659998893737793,69,44.04014277458191
30,0.02640002965927124,0.16544616222381592,68,44.72232794761658
40,0.015600025653839111,0.16190767288208008,76,48.92599964141846
5,0.09619998931884766,0.1991538405418396,88,52.46953511238098
10,0.05760002136230469,0.18233847618103027,59,36.854689836502075
20,0.06679999828338623,0.18581539392471313,68,43.04559540748596
30,0.015799999237060547,0.16276925802230835,81,51.28731942176819
40,0.031599998474121094,0.15969228744506836,65,42.73003101348877
5,0.13520002365112305,0.2259846329689026,62,38.05974841117859
10,0.11320000886917114,0.2254769206047058,85,51.99595260620117
20,0.018800020217895508,0.1662769317626953,89,55.519938230514526
30,0.03320002555847168,0.16889232397079468,72,46.913010358810425
40,0.0307999849319458,0.15713846683502197,58,38.192288875579834
5,0.09680002927780151,0.20515382289886475,81,48.73411965370178
10,0.06859999895095825,0.18149232864379883,60,37.51887822151184
20,0.07099997997283936,0.16829228401184082,40,26.5116229057312
30,0.0339999794960022,0.16147691011428833,71,45.48224091529846
40,0.014599978923797607,0.16184616088867188,83,53.93446731567383
5,0.09680002927780151,0.19821536540985107,72,43.16433763504028
10,0.05119997262954712,0.1794307827949524,80,49.199822425842285
20,0.03320002555847168,0.17252308130264282,73,46.184860944747925
30,0.017000019550323486,0.1616615653038025,77,48.723015546798706
40,0.03140002489089966,0.1597999930381775,58,38.79007863998413
5,0.11140000820159912,0.2169230580329895,87,50.436177015304565
10,0.04900002479553223,0.17775386571884155,90,54.62537860870361
20,0.036199986934661865,0.17669230699539185,94,58.10477662086487
30,0.014199972152709961,0.16561537981033325,93,58.202619552612305
40,0.037400007247924805,0.16055387258529663,64,41.65516710281372
5,0.0910000205039978,0.19276922941207886,75,46.30695605278015
10,0.07700002193450928,0.18027693033218384,44,28.159520387649536
20,0.04640001058578491,0.17769229412078857,74,45.97657322883606
30,0.017000019550323486,0.1629999876022339,88,54.84202599525452
40,0.013999998569488525,0.1602461338043213,85,54.5066876411438
5,0.0934000015258789,0.2138461470603943,127,74.34554553031921
10,0.05019998550415039,0.179815411567688,77,47.630531549453735
20,0.07120001316070557,0.18376922607421875,74,46.38794803619385
30,0.03380000591278076,0.17249232530593872,72,45.55765724182129
40,0.013599991798400879,0.1669076681137085,104,66.79240918159485
5,0.11900001764297485,0.22413843870162964,94,56.03617858886719
10,0.08319997787475586,0.1841999888420105,77,47.55845284461975
20,0.06400001049041748,0.18349230289459229,64,41.00021433830261
30,0.04000002145767212,0.16427689790725708,67,43.05284523963928
40,0.02619999647140503,0.16901540756225586,83,53.829647064208984
5,0.142799973487854,0.2180461287498474,52,32.033766746520996
10,0.07359999418258667,0.18853843212127686,65,40.60488486289978
20,0.03600001335144043,0.17040002346038818,88,54.98720908164978
